CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G;MAT_GRASSES;GRAISSES_SATUREES;GLUCIDES;SUCRES;FIBRES;PROTEINES;SEL;SODIUM;CALCIUM
3410280026190;Pommes rissolées préfrites et surgelées;Top budget;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Surgelés, Pommes de terre préparées, Pommes de terre rissolées, Pommes de terre normales préfrites surgelées, Pommes de terre, Pommes de terre rissolées surgelées, Pommes rissolées surgelées cuites, en:frozen-pre-fried-potato-cubes;122.0;3.0;0.5;20.0;0.5;;2.3;0.05;0.02;
3250391631513;Ravioles Au Fromage De Chèvre, La Barquette De 240g;Itineraire des saveurs, Itineraire de nos regions;Plats préparés, Plats à base de pâtes, Pâtes farcies, Ravioles;251.0;7.0;4.6;36.8;3.0;0.0;9.3;1.6;0.64;
3250392066574;Mélange japonais;Paquito;Mélanges de biscuits soufflés;423.0;10.3;2.2;69.8;10.2;;10.4;0.9;0.36;
3250390564782;Pizza Di Pierra Campagnarde;Fiorini;Plats préparés, Pizzas tartes salées et quiches, Pizzas;194.0;5.1;2.3;28.0;2.6;2.3;7.7;1.1;0.44;
7613036087469;MOUSLINE purée nature;Maggi,Mousline,nestlé;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Produits déshydratés, Produits lyophilisés à reconstituer, Préparations à base de pommes de terre, Purées, Purées de pommes de terre, Purées de pommes de terre en flocons;348.0;0.8;0.6;74.0;3.5;7.7;7.4;0.06;0.024;
3250391868322;Filet de Poulet Doré au Four;Intermarche,Interarche,S.A.S. SCO;Viandes et dérivés, Charcuteries, Charcuteries cuites, Blancs de volaille en tranches, Blancs de poulet en tranches;110.0;1.6;0.6;1.4;1.4;0.0;22.6;1.7;0.68;
3250393072345;Petit biscuit avoine & framboise;Chabrior;Snacks, Snacks sucrés, Surgelés, Biscuits et gâteaux, Biscuits, Biscuits à l'avoine;436.0;14.0;1.4;61.0;9.4;13.0;9.9;0.05;0.02;
3250390313403;Riz cantonais;Itinéraire des Saveurs,Intermarché;Plats préparés, Frais, Plats préparés frais, Céréales préparées, Plats préparés à réchauffer au micro-ondes, Riz préparés, Riz cantonais;141.0;5.4;0.8;15.1;1.1;3.4;6.4;0.85;0.34;
3250390012450;Le Sainte-Maure;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de France, Fromages de chèvre, Fromages pasteurisés, Fromages à pâte molle à croûte naturelle, Sainte-Maure de Touraine;286.0;22.7;16.5;1.7;0.5;0.5;18.6;1.7;0.68;
3250392057831;Saucisse Auvergne;Itinéraire des Saveurs, Itineraire de nos regions;Viandes et dérivés, Viandes, Charcuteries, Saucisses, Saucissons, Saucisses sèches;400.0;30.6;12.5;0.6;0.5;;30.5;4.68;1.872;
3329770051195;Calin 0%  Nature Fromage blanc;yoplait;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs natures;62.0;0.1;0.1;7.8;7.8;0.1;6.5;0.15;0.06;
3509970000012;Beurre Doux;Ets Lecomte;Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres doux, Beurres de crème douce;745.0;82.0;55.0;1.0;0.6;;0.7;0.0;0.0;
3250390153511;Beurre Gastronomique doux;Pâturages;Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres doux, Beurres de crème douce;740.0;83.0;57.0;0.9;0.6;;0.7;0.05;0.02;
3250391455201;Emmental français;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte pressée cuite, Emmentals, Fromages de France, Emmentals français, Fromages pasteurisés;370.0;28.0;20.0;1.6;0.5;0.5;28.0;0.61;0.244;978.0
3250390011620;Pointe de brie;Pâturages,Intermarché;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Fromages de France, Bries, Fromages pasteurisés;345.0;31.0;22.0;0.5;0.0;0.0;17.0;1.4;0.56;434.0
3250392129781;Pain pour hot dog;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains spéciaux, Pains Hot Dog;283.0;5.0;0.7;49.3;7.4;;8.8;1.25;0.5;
5412949096825;Moelleux Toblerone;TOBLERONE;Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Moelleux au chocolat;446.0;28.0;13.0;41.0;35.0;2.9;5.9;0.08;0.032;
3571492480009;Les Acras de morue;maison briau;Produits de la mer, Poissons et dérivés, Snacks, Poissons, Snacks salés, Amuse-gueules, Plats préparés, Plats préparés au poisson, Préparations de poisson, Acras de morue, en:Preparations-made-from-fish-meat;192.0;8.8;1.4;17.0;1.4;0.0;9.6;1.5;0.6;
3250390884934;Steaks Hachés Extra Tendre x2, Le Paquet,;Jean roze;Viandes et dérivés, Viande de bœuf et dérivés, Viandes, Bœuf, Steaks de viande, Steaks de bœuf, Steaks hachés, Steaks de bœuf hachés;128.0;4.7;2.2;0.5;0.5;;22.0;0.19;0.076;
3250390111412;Biscuits turbulo chocolat au lait;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat au lait, Biscuits nappés au chocolat, Sablés nappés de chocolat;489.0;21.9;6.6;63.7;26.6;4.7;6.7;0.23;0.092;
3250392359621;Mousse au chocolat noir;Paturages;Desserts, Desserts au chocolat, Mousses au chocolat, Mousses au chocolat noir;154.0;4.8;3.4;21.4;18.7;2.3;5.2;0.2;0.08;
3250392243487;Cheese Burger;Jean Rozé;Sandwichs, Cheeseburgers, en:Sandwichs  Cheeseburgers;256.0;11.7;5.0;22.8;4.3;2.1;14.1;1.14;0.456;
3250391519781;Sushis;Itineraire Des Saveurs;Plats préparés, Sushis et makis, Sushis;151.0;2.9;0.6;23.3;2.1;;6.8;2.04;0.816;
3250390120216;assortiment de biscuits;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Assortiments de biscuits;528.0;28.3;16.3;61.6;42.1;2.1;5.6;0.35;0.14;
3410280051055;Assortiment de biscuits;Excelsior,Top budget;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Assortiments de biscuits;477.0;19.2;10.6;68.2;23.8;2.3;6.7;0.52;0.208;
3250390213970;Saint-marcellin igp;Paturages, Itineraire de nos regions;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Fromages de France, Saint-Marcellin;268.0;22.0;16.0;1.5;0.5;0.0;16.0;1.3;0.52;
3250390445166;Purée gourmande;Bouton d'or, Saint eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Préparations à base de pommes de terre, Purées, Purées de pommes de terre, Purées de pommes de terre en flocons;393.0;2.3;1.5;80.0;2.1;8.5;8.8;2.4;0.96;
3250391213795;Cpt.cook Bisque De Homard;Capitaine cook;Produits de la mer, Bisques de homard;34.0;1.8;0.9;2.4;0.8;;2.2;0.85;0.34;
3250390004356;Cotterley Camomille 5S;Cotterley,Intermarché;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Boissons sans sucre ajouté, Thés en sachets;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;
