CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G
3033710065967;NESQUIK Cacao;Nestlé,Nesquik;Boissons, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Cacaos en poudre, Chocolats en poudre, Poudre maltée cacaotée;386.0
3229820762692;Tofu nature;Bjorg;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Alternatives à la viande, Tofu, Tofu nature;169.0
3250391651467;Cancoillotte de Franche Comte a l'ail, le pot de;Itineraire des saveurs;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de France, Fromages à pâte fondue, Cancoillottes;136.0
3175680011442;Biscuit soja orange;Gerblé;Snacks, Breakfasts, Sweet snacks, Biscuits and cakes, Biscuits, Crispy biscuits, Diet crispy biscuit, Dry biscuits, Shortbread cookies, Breakfast biscuit, Shortbread biscuit with fruits, Sablés à l'orange;444.0
3250391151332;Merlan pané;Odyssée,Les Mousquetaires,Sélection les Mousquetaires;Produits de la mer, Poissons et dérivés, Poissons, Préparations de poisson, Produits panés, Poissons panés, Poissons panés de merlan;193.0
7613035009271;P'TIT BRASSE banane;Nestlé;Produits laitiers, Desserts, Aliments pour bébé, Desserts lactés, Goûters et desserts pour bébé, Desserts lactés pour bébé, Dès 6 mois;108.0
3250391969494;Céréales déli cookie aux pépites chocolatées;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat;393.0
3250392450342;Les Tranchettes Croque Monsieur à l'Emmental;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages en tranches, Fromages fondus;231.0
3250392325664;Pâte à tartiner;Ivoria;Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao;534.0
3076820006246;Les Olives du Marché - Cocktail d'olives dénoyautées pimentées;Crespo;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Pickles, Produits de l'olivier, Pickles d'origine végétale, Olives, Olives vertes, Olives dénoyautées, Olives vertes dénoyautées;227.0
3229820100234;Fourrés Chocolat noir BIO;Bjorg;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat noir;478.0
3155251205296;Tartine Doux;Primevère;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées;495.0
8711200460779;Cornichons Aux 6 Épices & Aromates Croq'Mini;Amora;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Condiments, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Pickles, Légumes et dérivés, Légumes en conserve, Pickles d'origine végétale, Pickles de légumes, Pickles de concombres, Cornichons, en:groceries;41.0
3250391781867;Farine semi-complète bio;Chabrior;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de froment, Farines de blé type T110;341.0
3760094310368;Mon biscuit BIO vanille;Aline & Olivier,A&O,A&O L'épicerie Locale;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits sablés, Biscuits à la vanille;405.0
3250392341268;Preparation de coeur de palmiers -morceaux-;Saint Eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Frais, Aliments à base de plantes frais, Cœurs de palmier;25.0
3760091726650;HAïTI Grand cru Cap haïtien 72% cacaoté et fruité;Éthiquable;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats noirs extra fin;580.0
3760091724632;Pérou grand cru Amazonas 70 % doux et boisé;Ethiquable,SCOP Ethiquable;Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Chocolats, Chocolats noirs, Chocolats noirs extra fin;580.0
3250391531622;Quenelles de Veau sauce Financière;Claude Léger, Monique ranou;Conserves, Viandes et dérivés, Plats préparés, Plats préparés à la viande, Plats au bœuf, Quenelles, Plats préparés en conserve, Plats au veau, Quenelle de veau en sauce, Quenelles de veau, Quenelles de veau à la sauce;135.0
3250390499749;Beurre tendre doux;Pâturages,Intermarché;Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres doux, Beurres de crème douce;743.0
3410280023533;Chocolat de ménage au lait;Top Budget;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats au lait, Chocolats de ménage;
3229820797946;Muesli;Bjorg;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales aux fruits, Mueslis, Mueslis aux fruits;360.0
3036811366988;Mouliné de légumes;Liebig;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes;33.0
3250391197255;Pizza au Feu de Bois 4 Fromages;Fiorini;Surgelés, Plats préparés, Pizzas tartes salées et quiches, Pizzas, Pizzas au fromage, Pizzas et tartes surgelées, Pizzas aux quatre fromages, Pizzas surgelées;270.0
3250390325178;Nouilles au blé tendre - saveur d'asie;Itinéraire des Saveurs;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Nouilles, Nouilles chinoises;362.0
3182280091767;Cidre bio;Ecusson;Boissons, Boissons alcoolisées, Cidres, Cidre de Normandie;
7622210444097;Le moelleux;BelVita,LU,Mondelez;Snacks, Petit-déjeuners, Desserts, Snacks sucrés, Biscuits et gâteaux, Biscuits;
7614800170004;Butterfly;Kambly;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits;465.0
3250390010586;Camembert;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte molle à croûte fleurie, Camemberts, Camemberts au lait de vache, Fromages de France, Fromages pasteurisés, Camemberts au lait pasteurisé de vache;274.0
3250390757603;Fromage de chèvre le crottin;Paturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de chèvre;294.0
3229820783031;Mian Tiao saveur boeuf - 85 g - Tien Shan;Tien Shan;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Plats préparés, Produits déshydratés, Pâtes alimentaires, Produits lyophilisés à reconstituer, Nouilles, Soupes, Plats préparés déshydratés, Nouilles instantanées, Soupes déshydratées, Nouilles-asiatiques, Soupes-de-nouilles;112.0
3250391421046;Feuilletée jambon emmental;Monique Ranou;Plats préparés, Feuilleté salé;307.0
3497917002451;les de Sarrasin au Sel de Guerande;Brets;Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Seeds, Appetizers, Cereals and their products, Chips and fries, Cereal grains, Crisps, Buckwheat, Chips-de-sarrasin;567.0
3017239003860;Olives noires dénoyautées à la grecque;Tramier;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Pickles, Produits de l'olivier, Pickles d'origine végétale, Olives, Olives noires, Olives dénoyautées, Olives noires dénoyautées;289.0
3760020505929;Bouillon cube légumes dégraissé;Jardin bio,Léa Nature;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Produits déshydratés, Aliments à base de plantes séchées, Produits lyophilisés à reconstituer, Bouillons, Bouillons déshydratés, Bouillons de légumes, Bouillons cubes, Bouillons de légumes déshydratés, Bouillons cube de légumes, en:Groceries;210.0
3760002454924;6 Œufs Frais Bio;Moisson,Intermarché;Produits d'élevages, Œufs, Œufs de poules, Œufs de poules élevées en plein air, Oeufs labellisés biologiques;
3250391294916;Emmental Français Râpé;Paturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte pressée cuite, Emmentals, Fromages de France, Emmentals français, Fromages râpés, Emmentals râpés;371.0
3250391352302;Dés de Poulet -25% de sel;ranoum, Monique ranou;Viandes et dérivés, Viandes, Poulet et dérivés, Volailles, Poulets;96.0
8719200031449;Fruit d'Or Oméga 3 Doux - Sans huile de palme - 450g;Fruit d'Or;Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines, Salted margarines;450.0
3229820160672;Croustillant Chocolat;Bjorg;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Pépites de céréales croustillantes, Pépites de céréales au chocolat;437.0
7613036938174;NESTLE DESSERT Pépites de chocolat au lait 100g;Nestlé dessert,Pépites;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats;555.0
8585002484093;MAGGI Bouillon BIO Légumes 80g;Maggi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits déshydratés, Aliments à base de plantes séchées, Produits lyophilisés à reconstituer, Bouillons, Bouillons déshydratés, Bouillons de légumes, Bouillons cubes, Bouillons en poudre, Bouillons de légumes déshydratés, Bouillon de légumes déshydraté;233.0
7613032910501;NESTLE DESSERT Praliné;Nestlé;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolat-pralin;555.0
3250391651436;Cancoillotte de Franche-Comté Nature;Itinéraire des Saveurs,Intermarché;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de France, Fromages à pâte fondue, Cancoillottes;
3451790852497;La Crème Semi-Epaisse Si Légère 4%MG;Elle et Vire, Elle & Vire;Produits laitiers, Crèmes, Crèmes UHT, Crèmes liquides, Succédanés de la crème, Crèmes extra-légères;76.0
3451790961274;La Crème Anglaise;Elle & Vire;Produits laitiers, Condiments, Aides culinaires, Sauces, Sauces dessert, Crèmes anglaises, Aide culinaire sucrée, en:groceries;102.0
3258231068000;Le Beurre Surgères 82%MG Doux;Surgères;Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres doux, Beurres de crème douce, Beurres AOP;744.0
3228850000262;Pain AMS 7 céréales;Harrys;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de mie, Pains de mie aux céréales;282.0
3250390145561;Biscuits tableau d'honneur chocolat au lait;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat au lait, Petits beurres, Biscuits tablette de chocolat, Biscuits tablette de chocolat au lait, Petit beurre au chocolat;498.0
3250390585718;Tableau d'honneur choco lait (pocket);Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat au lait, Biscuits tablette de chocolat;509.0
3250391305162;Tableau d'Honneur Choco Caramel;Chabrior,Les Mousquetaires,Intermarché;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat au lait, Biscuits tablette de chocolat, Biscuits tablette fourrée, Biscuits au caramel;481.0
8712100691676;Amora Sauce Chunky Burger 258g;Amora;Condiments, Sauces, en:groceries;232.0
3017620429484;Nutella;Ferrero,Nutella;Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner aux noisettes, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes et au cacao;539.0
3228886048436;Lipton Ice Tea saveur pêche 1,5 L;Lipton;Plant-based foods and beverages, Beverages, Plant-based beverages, Artificially sweetened beverages, Tea-based beverages, Iced teas, Peach flavored iced teas, Sweetened beverages;20.0
7613035974685;hepar;Hépar;Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale naturelle non gazeuse;0.0001
